Species,Season,Organ,Fish weight (g),Fish length (cm),Al,As,Cd,Cr,Cu,Fe,Mn,Pb,Sb,Se,Sr,Zn
Labeo rosa,Winter,Liver,279.94,30.3,808.49,0.7764,0.5038,0.5697,316.35,3050.13,11.364,0.1413,0.2473,22.645,0.6794,104.5
Labeo rosa,Winter,Liver,374.8,33.5,495.41,0.5552,0.2444,0.174,53.858,2342.99,8.3899,0.0825,0.158,6.9199,0.703,77.39
Labeo rosa,Winter,Liver,382,35.2,1273.8,0.6454,1.0352,0.7353,362.78,3524.94,13.063,0.2435,0.6153,8.9355,0.9836,111.09
Labeo rosa,Winter,Gill,721.35,38.5,277.2,1.0197,0.0176,0.3221,0.4914,298.22,66.627,0.7229,0.1097,,391.37,159.89
Labeo rosa,Winter,Gill,219.31,26.9,629.99,0.8144,0.005,1.0386,,390.83,29.863,0.2206,0.0582,,154.94,81.78
Labeo rosa,Winter,Gill,586.61,36,176.23,3.384,0.0365,,0.0123,203.27,40.678,0.4141,0.244,4.3424,276.45,190.31
Labeo rosa,Winter,Gill,255.32,30.1,321.06,1.6666,0.0176,0.2343,1.5948,328.55,37.439,0.2208,0.3486,,300.27,159.04
Labeo rosa,Winter,Gill,337.02,24.3,573.32,1.6023,0.0191,1.9238,,405.7,62.176,0.5643,0.2131,,321.48,119.1
Labeo rosa,Winter,Gill,311.03,24.9,272.89,1.1882,0.0239,0.4912,2.4872,282.54,42.625,0.6222,0.2249,,315.81,141.62
Labeo rosa,Winter,Gill,254.94,29.6,410.8,1.0552,0.0192,0.4811,0.5829,371.54,48.691,0.6706,0.1794,,324.67,272.34
Labeo rosa,Winter,Gill,279.94,30.3,159.98,1.1273,0.0194,0.5253,1.5878,161.65,49.986,0.4107,0.0728,5.3095,333.89,191.87
Labeo rosa,Winter,Gill,374.8,33.5,242.2,0.9395,0.0119,0.4351,2.1115,233.79,44.926,0.7779,0.0273,3.0784,286.94,247.43
Labeo rosa,Winter,Gill,382,35.2,298.74,1.8352,0.0128,0.4672,1.9365,298.75,46.938,0.8355,0.0278,4.0835,291.94,170.09
Labeo rosa,Winter,Muscle,721.35,38.5,23.381,0.1142,0.0121,0.2631,0.7829,15.887,3.8969,0.1537,0.0463,,13.857,19.66
Labeo rosa,Winter,Muscle,219.31,26.9,49.68,0.1058,0.0182,0.2375,2.179,39.784,1.3994,0.0967,0.0691,1.2365,4.3742,34.307
Labeo rosa,Winter,Muscle,586.61,36,28.389,0.1077,0.0594,0.2669,0.8868,21.291,3.2987,0.1998,0.1456,,13.751,21.432
Labeo rosa,Winter,Muscle,255.32,30.1,26.795,0.7676,0.0165,0.2952,0.5884,22.196,3.2993,0.1175,0.1851,,11.498,17.862
Labeo rosa,Winter,Muscle,337.02,24.3,45.982,0.5335,0.0272,0.2521,0.8093,36.385,2.9988,0.1414,0.1818,2.4683,11.152,23.073
Labeo rosa,Winter,Muscle,311.03,24.9,21.358,0.2547,0.0112,0.2571,0.9099,39.392,2.9994,0.1455,0.1026,2.4795,12.323,17.897
Labeo rosa,Winter,Muscle,254.94,29.6,19.188,0.2484,0.0188,0.3466,0.573,20.588,2.3986,0.1297,0.0588,4.8351,10.018,22.868
Labeo rosa,Winter,Muscle,279.94,30.3,29.976,0.2578,0.0143,,0.8976,29.277,5.0959,0.0985,0.0385,6.1656,9.3924,19.383
Labeo rosa,Winter,Muscle,374.8,33.5,33.893,0.2186,0.0135,0.1191,1.4919,23.095,3.2993,0.5239,0.0323,4.6515,11.343,38.875
Labeo rosa,Winter,Muscle,382,35.2,37.627,0.3524,0.0152,0.2435,0.7835,24.353,2.6474,0.1524,0.0454,3.8946,10.936,20.937
